#{"t_start": 1703935751.442305, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
230.0,2977,4.159374
80.0,1171,4.549315
5.0,1363,4.985893
15.0,1577,5.48523
180.0,2081,6.134829
150.0,2319,6.876203
80.0,1851,7.464088
45.0,1517,7.943124
325.0,4239,9.248154
220.0,2041,9.898997
155.0,2387,10.653567
85.0,1887,11.251314
35.0,1209,11.665971
225.0,2623,12.520678
315.0,2611,13.354781
80.0,1409,13.805842
105.0,1191,14.191566
105.0,1683,14.731721
30.0,1117,15.088315
155.0,1947,15.705857
210.0,2643,16.538318
335.0,2685,17.390738
30.0,1753,17.956526
150.0,2157,18.636673
190.0,2759,19.510506
65.0,1451,19.980265
155.0,1867,20.577686
310.0,2171,21.257927
105.0,2237,21.968133
185.0,2147,22.650477
275.0,2757,23.52835
115.0,1785,24.092039
135.0,2025,24.733144
415.0,2753,25.601072
80.0,2055,26.253398
120.0,1905,26.874717
120.0,1967,27.508736
165.0,2925,28.448058
295.0,2405,29.198043
135.0,1905,29.806536
110.0,2251,30.518612
90.0,1951,31.13187
65.0,1043,31.470065
125.0,2001,32.111473
135.0,2457,32.896011
110.0,1731,33.448694
50.0,1147,33.811987
165.0,2173,34.493508
50.0,1363,34.924782
105.0,1573,35.427363
315.0,3249,42.348901
135.0,1613,42.870101
125.0,1173,43.245596
105.0,2087,43.913096
160.0,2273,44.64494
80.0,1223,45.040187
140.0,1917,45.662669
15.0,1287,46.074065
110.0,2217,46.792028
55.0,1033,47.121207
110.0,1357,47.551608
35.0,1201,47.939371
315.0,3607,49.056448
460.0,3027,50.022196
75.0,2023,50.68675
130.0,1811,51.299931
340.0,2739,52.22493
120.0,1685,52.786178
80.0,1169,53.164619
150.0,1959,53.798338
45.0,1207,54.175416
180.0,2065,54.825773
30.0,1357,55.259676
85.0,1665,55.796068
110.0,2005,56.438814
50.0,1093,56.822691
165.0,2703,57.677783
60.0,1607,58.193942
190.0,2409,58.958968
105.0,1361,59.392699
105.0,1623,59.90378
80.0,1919,60.517689
45.0,1473,60.9805
195.0,2953,61.915054
185.0,2971,62.853934
155.0,2049,63.506782
180.0,2627,64.339534
30.0,2095,65.013958
285.0,3179,66.018827
105.0,2069,66.665447
260.0,2115,67.331545
145.0,2017,67.974249
50.0,1153,68.336888
65.0,1589,68.84878
80.0,1907,69.455923
210.0,2435,70.224652
135.0,1767,70.788274
85.0,1105,71.135496
135.0,2085,71.801115
125.0,2569,72.628615
120.0,1919,73.240822
55.0,1677,73.782649
60.0,1409,74.244808
85.0,1559,79.729398
65.0,1869,80.319039
135.0,2999,81.276863
35.0,1649,81.800373
155.0,2187,82.487489
105.0,1501,82.957259
105.0,1699,83.497795
120.0,2373,84.252041
